"Stack Trace";"Sample Count";"Percentage(%)"
"                                                                                          ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"3";"0.22%"
"                                                                                             CellPlanResult$ResultWriter.write(ITuple, Object)";"2";"0.15%"
"                                                                                                CellPlanResult$ResultWriter.writeTrimmed(IMdxMember[], Object)";"2";"0.15%"
"                                                                                                   CellPlanResult$ResultWriter.doFlush()";"2";"0.15%"
"                                                                                                      CellPlanResultHelper.multiMap(int[], int[], int[], int[][], int[][], List, boolean)";"2";"0.15%"
"                                                                                                         CellPlanResultHelper.unsafeBitmapGet(int[], IMdxMember, int, int)";"2";"0.15%"
"                                                                                                            CellPlanResultHelper.unsafeBitmapGetPositionNoUndef(int[], IMdxMember, int, int)";"2";"0.15%"
"                                                                                                               CellPlanResultHelper.unsafeBitmapGetPositionNoUndef(int[], IMdxMember, int, int)";"1";"0.07%"
"                                                                                                                  AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                                                     AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                                                               AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                                                  AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                                             ACellPlanExecutor.evaluateValue(IExpression)";"1";"0.07%"
"                                                                                                FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                                                                   AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                                                                      ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                                                         DivideFunction$DivideFunctionDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                            ExpressionEvaluator.evaluateNumeric(IExpression)";"1";"0.07%"
"                                                                                                               ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                                                                  ExpressionEvaluator.evaluateCurrent()";"1";"0.07%"
"                                                                                                                     CellPlanResult.tryGetValue(ITuple, IExpression, Object)";"1";"0.07%"
"                                                                                                                        CellPlanResultHelper.tupleToPoint(ITuple, int[])";"1";"0.07%"
"                                                                                                                           AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                                                              AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                                          ACellPlanExecutor$FormulaExecutor.startStep(IContextBase$IContextState)";"1";"0.07%"
"                                                                                             ADelegatingExecutionContext.setMembersQuick(ITuple)";"1";"0.07%"
"                                                                                                ARootExecutionContext.setMembersQuick(ITuple)";"1";"0.07%"
"                                                                                                   ARootExecutionContext.currentTupleContext()";"1";"0.07%"
"                                                                                       ForkJoinTask.join()";"1";"0.07%"
"                                                                                          ForkJoinTask.doJoin()";"1";"0.07%"
"                                                                                             ForkJoinTask.doExec()";"1";"0.07%"
"                                                                                                CancellableForkJoinTask.exec()";"1";"0.07%"
"                                                                                                   ContextualCancellableRecursiveAction.executeTask()";"1";"0.07%"
"                                                                                                      LongContextualCancellableRecursiveBoundedAction.compute()";"1";"0.07%"
"                                                                                                         LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"1";"0.07%"
"                                                                                                            ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"1";"0.07%"
"                                                                                                               ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"1";"0.07%"
"                                                                                                                  ACellPlanExecutor.evaluateValue(IExpression)";"1";"0.07%"
"                                                                                                                     FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                                                                                        AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                                                                                           ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                                                                              IifFunction$ValueIifDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                                                 ExpressionEvaluator.evaluateBoolean(IExpression)";"1";"0.07%"
"                                                                  LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"5";"0.37%"
"                                                                     LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"2";"0.15%"
"                                                                        ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"2";"0.15%"
"                                                                           ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"2";"0.15%"
"                                                                              ACellPlanExecutor.evaluateValue(IExpression)";"1";"0.07%"
"                                                                                 FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                                                    AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                                                       ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                                          AFixedFunction$FixedFunctionSingleDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                             AbsFunction.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                ExpressionEvaluator.evaluateNumeric(IExpression)";"1";"0.07%"
"                                                                                                   ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                                                      ExpressionEvaluator.evaluateCurrent()";"1";"0.07%"
"                                                                                                         CellPlanResult.tryGetValue(ITuple, IExpression, Object)";"1";"0.07%"
"                                                                                                            AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                                               AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                                                                  AbstractHash$StandardHashTable.read(int)";"1";"0.07%"
"                                                                              CellPlanResult$ResultWriter.write(ITuple, Object)";"1";"0.07%"
"                                                                                 CellPlanResult$ResultWriter.writeTrimmed(IMdxMember[], Object)";"1";"0.07%"
"                                                                                    CellPlanResult$ResultWriter.doFlush()";"1";"0.07%"
"                                                                                       CellPlanResultHelper.multiMap(int[], int[], int[], int[][], int[][], List, boolean)";"1";"0.07%"
"                                                                                          AbstractDictionary.map(Object)";"1";"0.07%"
"                                                                                             AbstractDictionary.map(Object, int)";"1";"0.07%"
"                                                                     ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"2";"0.15%"
"                                                                        ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"2";"0.15%"
"                                                                           ACellPlanExecutor.evaluateValue(IExpression)";"1";"0.07%"
"                                                                              FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                                                 AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                                                    ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                                       IifFunction$ValueIifDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                          ExpressionEvaluator.evaluateBoolean(IExpression)";"1";"0.07%"
"                                                                                             ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                                                ExpressionEvaluator.evaluateScalar(IExpression)";"1";"0.07%"
"                                                                                                   FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                                                                      AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                                                                         ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                                                            AFixedFunction$FixedFunctionSingleDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                               ComparisonFunctions$LEFunction.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                                  ComparisonFunctions$ComparisonFunction.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                                     ExpressionEvaluator.evaluateValue(IExpression)";"1";"0.07%"
"                                                                                                                        ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                                                                           ExpressionEvaluator.evaluateCurrent()";"1";"0.07%"
"                                                                                                                              CellPlanResult.tryGetValue(ITuple, IExpression, Object)";"1";"0.07%"
"                                                                                                                                 AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                                                                    AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                           CellPlanResult$ResultWriter.write(ITuple, Object)";"1";"0.07%"
"                                                                     ForkJoinTask.join()";"1";"0.07%"
"                                                                        ForkJoinTask.doJoin()";"1";"0.07%"
"                                                                           ForkJoinTask.doExec()";"1";"0.07%"
"                                                                              CancellableForkJoinTask.exec()";"1";"0.07%"
"                                                                                 ContextualCancellableRecursiveAction.executeTask()";"1";"0.07%"
"                                                                                    LongContextualCancellableRecursiveBoundedAction.compute()";"1";"0.07%"
"                                                                                       LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"1";"0.07%"
"                                                                                          ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"1";"0.07%"
"                                                                                             ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"1";"0.07%"
"                                                                                                ACellPlanExecutor.evaluateValue(IExpression)";"1";"0.07%"
"                                                                                                   FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                                                                      AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                                                                         ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                                                            IifFunction$ValueIifDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                               ExpressionEvaluator.evaluateBoolean(IExpression)";"1";"0.07%"
"                                                                                                                  ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                                                                     ExpressionEvaluator.evaluateScalar(IExpression)";"1";"0.07%"
"                                                                                                                        FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                                                                                           AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                                                                                              ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                                                                                 ExpressionExecutor.getCurrentPass()";"1";"0.07%"
"                                             LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"14";"1.05%"
"                                                ForkJoinTask.join()";"7";"0.52%"
"                                                   ForkJoinTask.doJoin()";"7";"0.52%"
"                                                      ForkJoinTask.doExec()";"7";"0.52%"
"                                                         CancellableForkJoinTask.exec()";"7";"0.52%"
"                                                            ContextualCancellableRecursiveAction.executeTask()";"6";"0.45%"
"                                                               LongContextualCancellableRecursiveBoundedAction.compute()";"6";"0.45%"
"                                                                  LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"6";"0.45%"
"                                                                     ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"3";"0.22%"
"                                                                        ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"2";"0.15%"
"                                                                           CellPlanResult$ResultWriter.write(ITuple, Object)";"1";"0.07%"
"                                                                              CellPlanResult$ResultWriter.writeTrimmed(IMdxMember[], Object)";"1";"0.07%"
"                                                                                 CellPlanResult$ResultWriter.doFlush()";"1";"0.07%"
"                                                                                    QFSBitmapIndex.append(int[])";"1";"0.07%"
"                                                                                       QFSBitmapIndex.getOrCreateBitmap(int, int)";"1";"0.07%"
"                                                                                          QFSBitmapIndex.getBitmap(int, int, boolean)";"1";"0.07%"
"                                                                                             TSynchronizedIntObjectMap.get(int)";"1";"0.07%"
"                                                                                                TIntObjectHashMap.get(int)";"1";"0.07%"
"                                                                           ADelegatingExecutionContext.setMember(IMdxMember)";"1";"0.07%"
"                                                                        ACellPlanExecutor$FormulaExecutor.startStep(IContextBase$IContextState)";"1";"0.07%"
"                                                                           ADelegatingContextBase.push(IContextBase$IContextState)";"1";"0.07%"
"                                                                              ARootContextBase.push(IContextBase$IContextState)";"1";"0.07%"
"                                                                                 ARootContextBase.set(IContextBase$IContextState)";"1";"0.07%"
"                                                                                    ARootExecutionContext$ExecContextStateHelper.transfer(ARootContextBase$ContextBaseState, ARootContextBase$ContextBaseState)";"1";"0.07%"
"                                                                                       ARootExecutionContext$ExecContextStateHelper.transfer(ARootExecutionContext$ExecContextState, ARootExecutionContext$ExecContextState)";"1";"0.07%"
"                                                                                          ARootExecutionContext$ExecContextState.getMutableTuple(ITuple)";"1";"0.07%"
"                                                                                             MutableTuple.apply(ITuple)";"1";"0.07%"
"                                                                                                MutableTuple.setMember(IMdxMember)";"1";"0.07%"
"                                                                     ForkJoinTask.join()";"2";"0.15%"
"                                                                        ForkJoinTask.doJoin()";"2";"0.15%"
"                                                                           ForkJoinTask.doExec()";"2";"0.15%"
"                                                                              CancellableForkJoinTask.exec()";"2";"0.15%"
"                                                                                 ContextualCancellableRecursiveAction.executeTask()";"2";"0.15%"
"                                                                                    LongContextualCancellableRecursiveBoundedAction.compute()";"2";"0.15%"
"                                                                                       LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"2";"0.15%"
"                                                                                          ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"2";"0.15%"
"                                                                                             ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"2";"0.15%"
"                                                                                                ACellPlanExecutor.evaluateValue(IExpression)";"2";"0.15%"
"                                                                                                   FunctionCall.accept(IExpressionVisitor)";"2";"0.15%"
"                                                                                                      AContextVisitor.visit(IFunctionCall)";"2";"0.15%"
"                                                                                                         ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"2";"0.15%"
"                                                                                                            DivideFunction$DivideFunctionDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                               ExpressionEvaluator.evaluateNumeric(IExpression)";"1";"0.07%"
"                                                                                                                  ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                                                                     ExpressionEvaluator.evaluateScalar(IExpression)";"1";"0.07%"
"                                                                                                            AFixedFunction$FixedFunctionSingleDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                               AbsFunction.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                                  ExpressionEvaluator.evaluateNumeric(IExpression)";"1";"0.07%"
"                                                                                                                     ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                                                                        ExpressionEvaluator.evaluateCurrent()";"1";"0.07%"
"                                                                                                                           CellPlanResult.tryGetValue(ITuple, IExpression, Object)";"1";"0.07%"
"                                                                                                                              AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                                                                 AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                     LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"1";"0.07%"
"                                                                        ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"1";"0.07%"
"                                                                           ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"1";"0.07%"
"                                                                              ACellPlanExecutor.evaluateValue(IExpression)";"1";"0.07%"
"                                                                                 FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                                                    AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                                                       ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                                          IifFunction$ValueIifDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                             ExpressionEvaluator.evaluateBoolean(IExpression)";"1";"0.07%"
"                                                                                                ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                                                   ExpressionEvaluator.evaluateScalar(IExpression)";"1";"0.07%"
"                                                                                                      FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                                                                         AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                                                                            ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                                                               AFixedFunction$FixedFunctionSingleDefinition.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                                  ComparisonFunctions$LEFunction.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                                     ComparisonFunctions$ComparisonFunction.evaluate(IFunctionCall, IExpressionEvaluator)";"1";"0.07%"
"                                                                                                                        ExpressionEvaluator.evaluateValue(IExpression)";"1";"0.07%"
"                                                                                                                           ExpressionEvaluator.evaluateType(IExpression, Type, Class)";"1";"0.07%"
"                                                                                                                              ExpressionEvaluator.evaluateCurrent()";"1";"0.07%"
"                                                                                                                                 CellPlanResult.tryGetValue(ITuple, IExpression, Object)";"1";"0.07%"
"                                                                                                                                    CellPlanResultHelper.tupleToPoint(ITuple, int[])";"1";"0.07%"
"                                                                                                                                       AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                                                                                          AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                                                                                             Dictionary.equals(Object, int)";"1";"0.07%"
"                                                            ContextualCancellableForkJoinTask.popExecutionContext()";"1";"0.07%"
"                                                               Context.setAll(IContextSnapshot)";"1";"0.07%"
"                                                                  Collections$UnmodifiableMap.entrySet()";"1";"0.07%"
"                                                ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"4";"0.30%"
"                                                   ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"4";"0.30%"
"                                                      CellPlanResult$ResultWriter.write(ITuple, Object)";"3";"0.22%"
"                                                         CellPlanResult$ResultWriter.writeTrimmed(IMdxMember[], Object)";"3";"0.22%"
"                                                            CellPlanResult$ResultWriter.doFlush()";"3";"0.22%"
"                                                               CellPlanResultHelper.multiMap(int[], int[], int[], int[][], int[][], List, boolean)";"2";"0.15%"
"                                                                  CellPlanResultHelper.unsafeBitmapGet(int[], IMdxMember, int, int)";"1";"0.07%"
"                                                                     CellPlanResultHelper.unsafeBitmapGetPositionNoUndef(int[], IMdxMember, int, int)";"1";"0.07%"
"                                                                        AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                           AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                                  AbstractDictionary.getPosition(Object)";"1";"0.07%"
"                                                                     AbstractDictionary.getPosition(Object, int)";"1";"0.07%"
"                                                               AChunkedColumn.write(int, Object)";"1";"0.07%"
"                                                                  SparseChunkedColumn.getWritableChunk(int)";"1";"0.07%"
"                                                                     AAggregation.createChunk(int, boolean, IAllocationSettings)";"1";"0.07%"
"                                                      ACellPlanExecutor.evaluateValue(IExpression)";"1";"0.07%"
"                                                         FunctionCall.accept(IExpressionVisitor)";"1";"0.07%"
"                                                            AContextVisitor.visit(IFunctionCall)";"1";"0.07%"
"                                                               ExpressionEvaluator$EvaluateVisitor.contextVisit(IFunctionCall)";"1";"0.07%"
"                                                                  FunctionCall.getCallAttribute(String, Class)";"1";"0.07%"
"                                                                     ConcurrentHashMap.get(Object)";"1";"0.07%"
"                                                LongBoundedAction.computeRange(LongBoundedAction$ILongBoundedActionExecutor, long, long)";"3";"0.22%"
"                                                   ACellPlanExecutor$EvaluateFormulaStepTask.execute(long, long)";"2";"0.15%"
"                                                      ACellPlanExecutor$FormulaExecutor.execute(LazyTupleCollection$Cursor, CellPlanResult$IResultWriter)";"2";"0.15%"
"                                                         CellPlanResult$ResultWriter.write(ITuple, Object)";"1";"0.07%"
